codigo_aluno;nome_aluno;idade_aluno;email_aluno
37;Hollee Washington;21;Suspendisse@cursusa.com
38;Cora F. Price;27;faucibus.Morbi.vehicula@Quisqueornaretortor.net
39;Vincent Kirby;67;lacinia.vitae@pellentesquemassalobortis.net
40;Galvin U. Bowman;57;ac@urnaconvallis.ca
41;Kermit Macias;63;aliquet.metus.urna@Phasellus.net
42;Cathleen E. Shepherd;78;vehicula.aliquet@disparturient.edu
43;Wyatt Melendez;36;ornare.In@lacusQuisque.ca
44;Baker Owen;96;tellus.Nunc.lectus@necante.co.uk
45;Jamal F. Padilla;82;Aenean@cubiliaCuraeDonec.net
46;Gavin Sullivan;60;Curabitur@fringillapurusmauris.co.uk
47;Nita Sears;29;Sed.congue@Integervitae.org
48;Zachery Small;74;tortor@eget.edu
49;Ariel O. Petty;96;lobortis@ridiculus.ca
50;Ryder D. Sparks;29;imperdiet@acfermentumvel.org
51;Eliana Y. Spencer;82;tristique.senectus.et@enim.ca
52;Holmes R. Sweeney;97;posuere.cubilia.Curae@massalobortis.ca
53;Hilda Guthrie;31;luctus.vulputate@erategetipsum.org
54;Cailin F. Warner;49;nec.metus.facilisis@purus.com
55;Imogene J. Hampton;23;leo.in.lobortis@quis.org
56;Nita E. Munoz;60;mi@massaMauris.org
57;Cruz W. Aguirre;48;cursus@Praesent.net
58;Carlos Douglas;80;nulla@ametanteVivamus.com
59;Lois Q. Gutierrez;77;nec.quam@egetnisi.edu
60;Gareth I. Olson;36;cursus.purus.Nullam@ultrices.org
61;Shana A. Salinas;53;Cum.sociis@iaculisnec.ca
62;Harlan K. Manning;34;adipiscing.non.luctus@Aeneansedpede.ca
63;Vielka A. English;73;nulla@Inornaresagittis.com
64;Nash Sawyer;80;congue@duilectus.org
65;Macon I. Ochoa;58;vel.venenatis@odio.com
66;Cruz V. Hunter;64;enim.nisl.elementum@non.edu
67;Steel Wallace;26;eget.lacus@turpisIncondimentum.net
68;Allen Kidd;44;neque.et.nunc@penatibus.org
69;Steel Paul;96;diam.Pellentesque@ipsumacmi.co.uk
70;Jolie Schwartz;39;eros.nec.tellus@ametdiam.com
71;Pandora S. Patel;63;ad.litora@ultriciessemmagna.net
72;Ivana Alford;61;amet.consectetuer@diamatpretium.org
73;Cameran Hays;52;rutrum.urna.nec@egetvolutpatornare.co.uk
74;Gavin S. Kline;26;ante@felis.ca
75;Cain H. Wood;39;velit.Cras.lorem@et.net
76;Keith V. Crosby;31;in@hendrerit.org
77;Mannix J. Dickson;47;est.Mauris.eu@metusvitae.ca
78;Kylie Q. Weeks;47;erat.in@purus.edu
79;Giselle T. Cooper;95;quam.quis@magnaDuisdignissim.org
80;Bree T. Little;21;lorem.lorem.luctus@elementumloremut.ca
81;Gray B. Stokes;93;vulputate.risus@commodoipsumSuspendisse.net
82;Cullen M. Floyd;68;Quisque.fringilla.euismod@acmattisornare.org
83;Amela Diaz;77;Aliquam.ultrices@est.edu
84;Derek Stanley;34;pede@Integer.ca
85;Dale Q. Downs;79;diam.vel@lobortisquam.edu
86;Neil Glover;18;Sed@per.ca
87;Giacomo Porter;30;luctus@sollicitudinorci.org
88;Phillip Mason;99;nonummy.Fusce@elementum.net
89;Oscar S. Douglas;63;mollis.Duis.sit@tinciduntnuncac.com
90;Kiona Beasley;45;euismod.urna.Nullam@in.ca
91;Brenna S. Sherman;18;iaculis.lacus@seddui.com
92;Pamela Hull;58;fringilla@vitaedolor.co.uk
93;Laura Bird;93;sollicitudin.a@nisimagna.edu
94;Regina R. Mills;94;risus.Nunc@id.ca
95;Heather Molina;23;euismod.ac.fermentum@blanditenim.edu
96;Fredericka U. Ochoa;54;risus.Morbi.metus@sapienmolestieorci.org
97;Paul F. Pugh;49;erat@arcu.co.uk
98;Ivana X. Malone;99;eu.neque.pellentesque@ullamcorperviverra.ca
99;Rhiannon Travis;29;viverra.Donec.tempus@montesnasceturridiculus.com
100;Amos Adams;53;Vivamus.nibh.dolor@ullamcorper.com
